year,qtr,origin,dest,pc_hawaiian,pc_aloha,pc_go,pc_island,pc_other,mf_hawaiian,mf_aloha,mf_go,mf_island,mf_other
1993,4,KOA,ITO,0,8,0,0,0,NA,28,NA,NA,NA
1993,4,LIH,HNL,15,273,0,0,1,74,44.5,NA,NA,20
1993,4,LIH,OGG,0,176,0,0,0,NA,48,NA,NA,NA
1993,4,LIH,KOA,0,88,0,0,0,NA,47.99,NA,NA,NA
1993,4,LIH,ITO,0,74,0,0,0,NA,51.01,NA,NA,NA
1993,4,ITO,HNL,5,132,0,0,0,47,49.01,NA,NA,NA
1993,4,ITO,OGG,3,75,0,0,0,48,51.7,NA,NA,NA
1993,4,ITO,KOA,7,6,0,0,0,38,28,NA,NA,NA
1993,4,ITO,LIH,0,57,0,0,0,NA,47.99,NA,NA,NA
1994,1,HNL,OGG,27,467,0,2,182,26.01,53.5,NA,71,44
1994,1,HNL,KOA,17,350,0,0,64,45,54.99,NA,NA,40.49
1994,1,HNL,LIH,16,331,0,0,1,25.84,50,NA,NA,42
1994,1,HNL,ITO,13,235,0,0,1,39.01,52.51,NA,NA,148.01
1994,1,OGG,HNL,36,434,0,0,153,53.5,53.5,NA,NA,44
1994,1,OGG,KOA,22,161,0,0,0,33.88,49,NA,NA,NA
1994,1,OGG,LIH,13,180,0,0,1,51.51,53.59,NA,NA,148.01
1994,1,OGG,ITO,2,116,0,0,0,42.73,52.01,NA,NA,NA
1994,1,KOA,HNL,65,362,0,0,47,66.99,54,NA,NA,40.49
1994,1,KOA,OGG,3,121,0,0,0,51.5,49,NA,NA,NA
1994,1,KOA,LIH,33,93,0,0,0,50,51,NA,NA,NA
1994,1,KOA,ITO,15,10,0,0,0,30,28,NA,NA,NA
1994,1,LIH,HNL,17,313,0,0,2,74,52,NA,NA,71
1994,1,LIH,OGG,25,190,0,0,0,51.17,51.01,NA,NA,NA
1994,1,LIH,KOA,38,121,0,0,0,50.005,52,NA,NA,NA
1994,1,LIH,ITO,56,75,0,0,0,49.51,51.01,NA,NA,NA
1994,1,ITO,HNL,11,258,0,0,1,57.69,52.76,NA,NA,117.99
1994,1,ITO,OGG,8,105,0,0,0,49.99,51,NA,NA,NA
1994,1,ITO,KOA,22,9,0,0,0,40,28,NA,NA,NA
1994,1,ITO,LIH,56,74,0,0,0,43.755,50.5,NA,NA,NA
1994,2,HNL,OGG,68,419,0,0,136,39.48,53,NA,NA,40.75
1994,2,HNL,KOA,32,303,0,0,62,34.22,53.51,NA,NA,44.01
1994,2,HNL,LIH,41,244,0,0,0,26.17,48.75,NA,NA,NA
1994,2,HNL,ITO,41,206,0,0,1,38.28,49.51,NA,NA,148
1994,2,OGG,HNL,68,363,0,0,118,31,52,NA,NA,40
1994,2,OGG,KOA,30,123,0,0,0,47,52.5,NA,NA,NA
1994,2,OGG,LIH,24,188,0,0,0,54.405,56.5,NA,NA,NA
1994,2,OGG,ITO,8,106,0,0,0,32.095,53.14,NA,NA,NA
1994,2,KOA,HNL,65,305,0,0,60,63,54,NA,NA,42.5
1994,2,KOA,OGG,19,106,0,0,0,40,58,NA,NA,NA
1994,2,KOA,LIH,49,82,0,0,0,38.01,56.01,NA,NA,NA
1994,2,KOA,ITO,3,5,0,0,0,39,28,NA,NA,NA
1994,2,LIH,HNL,30,235,0,0,0,41.5,49.5,NA,NA,NA
1994,2,LIH,OGG,44,156,0,0,0,51.83,55.99,NA,NA,NA
1994,2,LIH,KOA,37,95,0,0,0,45.43,55.99,NA,NA,NA
1994,2,LIH,ITO,52,82,0,0,0,42.245,54.745,NA,NA,NA
1994,2,ITO,HNL,35,209,0,0,1,41.99,50.5,NA,NA,148.01
1994,2,ITO,OGG,28,91,0,0,0,49.01,56,NA,NA,NA
1994,2,ITO,KOA,8,4,0,0,0,35,28,NA,NA,NA
1994,2,ITO,LIH,39,72,0,0,0,38.99,51.755,NA,NA,NA
1994,3,HNL,OGG,55,438,0,0,175,34,53.25,NA,NA,44
1994,3,HNL,KOA,38,268,0,0,73,71.99,58,NA,NA,52
1994,3,HNL,LIH,19,254,0,0,0,24,50,NA,NA,NA
1994,3,HNL,ITO,44,180,0,0,1,41.01,54,NA,NA,74
1994,3,OGG,HNL,78,371,0,0,139,56,50,NA,NA,40
1994,3,OGG,KOA,28,159,0,0,0,40.245,55,NA,NA,NA
1994,3,OGG,LIH,60,143,0,0,0,45.08,59,NA,NA,NA
1994,3,OGG,ITO,24,93,0,0,0,44,53.49,NA,NA,NA
1994,3,KOA,HNL,63,289,0,0,66,64.59,59,NA,NA,46.245
1994,3,KOA,OGG,9,111,0,0,0,50,56.5,NA,NA,NA
1994,3,KOA,LIH,48,84,0,0,0,42,56.01,NA,NA,NA
1994,3,KOA,ITO,0,14,0,0,0,NA,28,NA,NA,NA
1994,3,LIH,HNL,29,247,0,0,1,45.63,50,NA,NA,117.99
1994,3,LIH,OGG,49,143,0,0,0,45.01,57.99,NA,NA,NA
1994,3,LIH,KOA,35,101,0,0,0,37.99,56.01,NA,NA,NA
1994,3,LIH,ITO,56,66,0,0,0,42.01,56,NA,NA,NA
1994,3,ITO,HNL,27,189,0,0,0,41,54.97,NA,NA,NA
1994,3,ITO,OGG,37,98,0,0,0,40.99,56,NA,NA,NA
1994,3,ITO,KOA,0,16,0,0,0,NA,28,NA,NA,NA
1994,3,ITO,LIH,53,67,0,0,0,38,56,NA,NA,NA
1994,4,HNL,OGG,40,427,0,2,214,27.51,57,NA,69.5,40
1994,4,HNL,KOA,39,353,0,0,82,51,54,NA,NA,42.25
1994,4,HNL,LIH,22,239,0,0,1,41.25,51.5,NA,NA,76.5
1994,4,HNL,ITO,25,219,0,0,1,43.74,50,NA,NA,164.01
1994,4,OGG,HNL,68,378,0,0,191,40.25,53,NA,NA,40
1994,4,OGG,KOA,46,165,0,0,1,46,42,NA,NA,67
1994,4,OGG,LIH,18,155,0,0,1,50.59,57.49,NA,NA,147.99
1994,4,OGG,ITO,36,75,0,0,0,37.99,41.65,NA,NA,NA
1994,4,KOA,HNL,63,379,0,0,61,61.33,54.99,NA,NA,36.5
1994,4,KOA,OGG,38,112,0,0,0,43,44.25,NA,NA,NA
1994,4,KOA,LIH,20,62,0,0,0,40.995,56.01,NA,NA,NA
1994,4,KOA,ITO,4,4,0,0,0,50,30.5,NA,NA,NA
1994,4,LIH,HNL,19,254,0,0,2,33.22,51.5,NA,NA,82.5
1994,4,LIH,OGG,40,115,0,0,0,60.99,53,NA,NA,NA
1994,4,LIH,KOA,19,73,0,0,0,47.99,58,NA,NA,NA
1994,4,LIH,ITO,27,61,0,0,0,38,46.01,NA,NA,NA
1994,4,ITO,HNL,28,212,0,0,3,51,51.49,NA,NA,95
1994,4,ITO,OGG,41,83,0,0,0,46,48.17,NA,NA,NA
1994,4,ITO,KOA,3,9,0,0,0,41,25,NA,NA,NA
1994,4,ITO,LIH,28,50,0,0,0,42.01,45.76,NA,NA,NA
1995,1,HNL,OGG,53,388,0,2,201,29.37,56.5,NA,61.5,44
1995,1,HNL,KOA,31,338,0,0,48,26.38,56.5,NA,NA,36
1995,1,HNL,LIH,39,271,0,0,0,40,53,NA,NA,NA
1995,1,HNL,ITO,45,196,0,0,1,41,48,NA,NA,203.99
1995,1,OGG,HNL,96,332,0,0,151,31.365,53.5,NA,NA,44
1995,1,OGG,KOA,44,132,0,0,0,44,48.5,NA,NA,NA
1995,1,OGG,LIH,14,143,0,0,0,69.555,49.01,NA,NA,NA
1995,1,OGG,ITO,41,73,0,0,0,49.01,53,NA,NA,NA
1995,1,KOA,HNL,49,333,0,0,44,42,56.5,NA,NA,38.01
1995,1,KOA,OGG,40,93,0,0,0,42,35,NA,NA,NA
1995,1,KOA,LIH,13,43,0,0,0,55.99,58,NA,NA,NA
1995,1,KOA,ITO,6,4,0,0,0,39,28,NA,NA,NA
1995,1,LIH,HNL,36,267,0,0,0,49.65,52.5,NA,NA,NA
1995,1,LIH,OGG,6,126,0,0,0,35.01,46.925,NA,NA,NA
1995,1,LIH,KOA,18,61,0,0,0,48.01,58,NA,NA,NA
1995,1,LIH,ITO,15,55,0,0,0,35.01,49,NA,NA,NA
1995,1,ITO,HNL,35,173,0,0,1,37,49.36,NA,NA,66.51
1995,1,ITO,OGG,52,69,0,0,0,45,50,NA,NA,NA
1995,1,ITO,KOA,28,3,0,0,0,33.5,28,NA,NA,NA
1995,1,ITO,LIH,15,59,0,0,0,35.01,42.01,NA,NA,NA
1995,2,HNL,OGG,53,318,0,0,110,27,52.75,NA,NA,52.5
1995,2,HNL,KOA,58,282,0,0,0,36.75,53.75,NA,NA,NA
1995,2,HNL,LIH,56,256,0,0,0,33.5,49.5,NA,NA,NA
1995,2,HNL,ITO,37,188,0,0,0,40,49.01,NA,NA,NA
1995,2,OGG,HNL,57,282,0,0,83,27.51,49.75,NA,NA,48.5
1995,2,OGG,KOA,59,127,0,0,0,43,44.48,NA,NA,NA
1995,2,OGG,LIH,16,115,0,0,0,65.79,53,NA,NA,NA
1995,2,OGG,ITO,49,101,0,0,0,44,50,NA,NA,NA
1995,2,KOA,HNL,57,330,0,0,3,35,56.01,NA,NA,118.01
